name,found,origin,end,type
Shenism,-10,000,China,2022,Polytheistic
Berber,-9000,Noth Africa,2022,Animism
Yoruba,-9000,West Africa,2022,Animism
Wuism,-5000,China,2022,Shamanistic
Muism,-4500,Korea,2022,Shamanistic
Mesopotamian,-4000,Mesopotamia,651,Polytheistic
Bantu,-3500,West-ntral Africa,1500,Animism
Tengrism,-3300,ntral Aisa,1400,Monotheistic
Indus,-3300,Indus Valley,-1300,Shamanistic
Kemetism,-3000,Egypt,553,Polytheistic
Nilotic,-3000,Nile River,2022,Animism
Romuva,-2000,Prussia,1500,Polytheistic
Canaanite,-2000,Syria,100,Polytheistic
Kunda ,-2000,Poland,2022,Shamanistic
Sami,-2000,Finland,2022,Animism
Phoenician,-2000,Eastern Mediterranean,-300,Polytheistic
Ashurism,-1800,Tigris River,256,Polytheistic
Vedic (Early Hindu),-1700,India,-500,Polytheistic
Polynesian,-1650,Polynesia,2022,Animistic
Hittite ,-1650,Black Sea,-1190,Polytheistic
Vedism,-1500,India,-500,Polytheistic
Olmec ,-1500,Southern Mexico,-400,Polytheistic
Anasazi,-1200,Colorado,1400,Shamanistic
Olmec,-1200,South Mexico,-400,Shamanistic
Zoroastrianism,-1100,Iran,700,Monotheistic
Hinduism,-1000,India,2022,Polytheistic
Jainism,-1000,India,2022,Polytheistic
Judaism,-950,Canaan,2022,Monotheistic
Roman Paganism,-753,ntral Rome,500,Polytheistic
Rodnover,-600,Russia,2022,Polytheistic
Orphism,-600,Gree,-400,
Taoism,-550,China,1959,Nontheistic
Buddhism,-520,India,2022,Nontheistic
Shinto,-500,China,1946,Polytheistic
Confucianism,-500,China,1905,Nontheistic
ltic,-500,West Europe,2022,Polytheistic
Hellenism,-300,Gree,1000,Polytheistic
Neoplatonism,-300,Rome,600,Polytheistic
Theravada (Buddhism),-250,India,2022,Nontheistic
Mayan,-250,Yucatan,900,Animism
Hopewell,-200,Indiana,500,Shamanistic
Hermeticism,-200,Gree,400,Dualistic
Zoroastrianism ,-200,Iran,650,Monotheistic
Mithraism,-100,Iran,500,Monotheistic
Christianity,33,Judea,2022,Monotheistic
Mithraism,70,Western Rome,500,Monotheistic
Germanic Paganism,100,Scandinavia,1030,Pantheism 
Mahayana (Buddhism),100,India,2022,Nontheistic
Tewahedo,100,Tigray Regioun,2022,Monotheistic
Gnosticism,100,Persia,400,Monotheistic
Asatro,200,Nordic,1200,Polytheistic
Neo-Platonism,250,Rome,650,Monotheistic
Manichaeism,270,Persia,1300,Monotheistic
Basque ,400,Southwest Fran,1200,Monotheistic
Vajrayana (Buddhism),500,India,2022,Nontheistic
Hawaiian,500,Hawaii,2022,Animistic
Bon (Buddhism),600,India,2022,Nontheistic
Islam (Sunni),620,Mecca,2022,Monotheistic
Islam (Shi'te),656,Mecca,2022,Monotheistic
Tengrism,800,ntral Aisa,2022,Monotheistic
Sufism,850,Baghdad,2022,Monotheistic
Bogomilism,940,Madonia,1500,Dualistic
Shenism ,960,Singapore,1279,Polytheistic
Inuit,1000,Alaska,2022,Animistic
Inuit,1000,West Alaska,2022,Shamanistic
Catholocism,1054,Palestine,2022,Monotheistic
East Orthodox,1054,Rome,2022,Monotheistic
Incan,1100,Peru,1530,Polytheistic
Catharism,1143,Western Europe,1400,Monotheistic
Aztec,1200,ntral Mexico,1512,Pantheism 
Theosophy,1200,New York City,2022,Dualistic
Kabbalah,1270,Southern Fran,2022,Monotheistic
Atenism,1346,Egypt,1400,Monotheistic
Sikhism,1500,Punjab,2022,Monotheistic
Protestantism,1517,Germany,2022,Monotheistic
Reform Judaism,1809,Germany,2022,Polytheistic
Baha'i,1844,Persia,2022,Monotheistic
Minoan ,5000,Crete,-1100,Polytheistic
